,time
0,1.2197355999996944
1,1.071371399999407
2,1.1783135000005132
3,1.0964954999999463
4,1.1547063999987586
5,1.088128900000811
6,1.1625337000004947
7,1.071816800000306
8,1.1413062999999966
9,1.0624898000005487
10,1.1484824999988632
11,1.0179785000000265
12,1.0899835000000166
13,1.1655484000002616
14,1.0796095999994577
15,1.1650849999987258
16,1.079620000000432
17,1.1818087999999989
18,1.093694699999105
19,1.1624171000003116
20,1.0743581000006088
21,1.142766599999959
22,1.0270817000000534
23,1.1225766000006843
24,1.0653116000012233
25,1.167533200001344
26,1.0693332999999257
27,1.0734840999994049
28,1.115014599999995
29,1.0751856999995653
30,1.15570789999947
31,1.0530572999996366
32,1.1612951000006433
33,1.0574764000011783
34,1.1711199000001216
35,1.0715651999998954
36,1.151244200000292
37,1.0669741000001522
38,1.1713545999991766
39,1.0447145999987697
40,1.164901699999973
41,1.0667654999997467
42,1.0684947000008833
43,1.1772858000003907
44,1.0844690000012633
45,1.1714085000003251
46,1.0964422000015475
47,1.1639746999990166
48,1.0721876000006887
49,1.1229053000006388
50,1.0776544000000285
51,1.1612239000005502
52,1.0842976000003546
53,1.1809895000005781
54,1.0805321000007098
55,1.1512304999996559
56,1.0596461999994062
57,1.0656904999996186
58,1.141460000000734
59,1.074217999999746
60,1.1519517000015185
61,1.080098000000362
62,1.160503900000549
63,1.0673043000006146
64,1.160447700000077
65,1.0830212000000756
66,1.2181455999998434
67,1.0575902999989921
68,1.162642200000846
69,1.0964932999995654
70,1.0647036999998818
71,1.1745339999997668
72,1.102189700000963
73,1.1553607000005286
74,1.0552555000012944
75,1.1410680999997567
76,1.1042129000015848
77,1.14469950000057
78,1.0609760000006645
79,1.1365956999998161
80,1.0742110999999568
81,1.185171299999638
82,1.0636277000012342
83,1.1957845999986603
84,1.058332500000688
85,1.0557876999992004
86,1.1359448000002885
87,1.0694428000006155
88,1.1175027000008413
89,1.0687550000002375
90,1.1742301999984193
91,1.0684773000011774
92,1.1606260999997176
93,1.0653108000005886
94,1.1834459000001516
95,1.0721011999994516
96,1.1913235999982135
97,1.0863685999993322
98,1.1601169999994454
99,1.0725572999999713
