,time
0,1.1908284000001004
1,1.0581705999993574
2,1.1332323999995424
3,1.0593172999997478
4,1.1707195999988471
5,1.0326576000006753
6,1.1447119000004022
7,1.0506894999998622
8,1.1593240999991394
9,1.0536303999997472
10,1.0634429000001546
11,1.123642700000346
12,1.0422906999992847
13,1.1359119999997347
14,1.050253800000064
15,1.1330551000010018
16,1.059782800000903
17,1.106450399998721
18,1.046945300000516
19,1.142966699999306
20,1.0388156000008166
21,1.1261343999995006
22,1.051557100001446
23,1.1874200999991444
24,1.066005699998641
25,1.0748998999988544
26,1.1426455000000715
27,1.061126200000217
28,1.1388644999988173
29,1.0593669999998383
30,1.1409404999994877
31,1.065905899999052
32,1.163292500001262
33,1.0894031999996514
34,1.1695510000008653
35,1.0380592000001343
36,1.1221819000002142
37,1.1586050000005343
38,1.4216163999990385
39,1.1713719999988825
40,1.0726250000006985
41,1.1755915000012465
42,1.1117766999996093
43,1.21903360000033
44,1.0664049000006344
45,1.188266699999076
46,1.0670738999997411
47,1.1484628999987763
48,1.0601327999993373
49,1.1511365999995178
50,1.2012865000015154
51,1.1989281999995
52,1.1831359999996494
53,1.1459914000006393
54,1.4518328999984078
55,1.1148032999990392
56,1.2251524000002973
57,1.1514576999998098
58,1.1988746999995783
59,1.16301680000106
60,1.191708700000163
61,1.176676099999895
62,1.2262480000008509
63,1.1168723999999202
64,1.2067969999989145
65,1.1411489000001893
66,1.2426183999996283
67,1.124414699999761
68,1.0892523000002257
69,1.1726897000007739
70,1.1537881000003836
71,1.2425332000002527
72,1.1250803999992058
73,1.1659127999992052
74,1.091527500000666
75,1.1670355000005657
76,1.0396479000010004
77,1.1275387999994564
78,1.0308760000007169
79,1.1893727999995463
80,1.0863640999996278
81,1.1713901000002807
82,1.0283712000000378
83,1.0811291999998502
84,1.1304336000011972
85,1.0713381999994454
86,1.1598386999994545
87,1.0858423999998195
88,1.1530648000007204
89,1.0796400999988691
90,1.1738875999999436
91,1.057461800000965
92,1.1291653999996925
93,1.0699838000000454
94,1.1552517999989504
95,1.0527273999996396
96,1.1821646000007604
97,1.096549200001391
98,1.042431800000486
99,1.126764099999491
