,time
0,1.540045599998848
1,1.4924399999999878
2,1.5160396999999648
3,1.4781906000007439
4,1.454395900000236
5,1.5029193999998824
6,1.4881489999988844
7,1.508484199999657
8,1.5575666000004276
9,1.5484655999989627
10,1.3943994000001112
11,1.4384446000003663
12,1.5151024000006146
13,1.4884856000007858
14,1.438520800000333
15,1.4575323999997636
16,1.4897177000002557
17,1.4926603000003524
18,1.459360299999389
19,1.515014999999039
20,1.4721614999998565
21,1.5216920000002574
22,1.48097880000023
23,1.4737810000005993
24,1.488187900000412
25,1.4249275000001944
26,1.4525157999996736
27,1.4538364999989426
28,1.5558122000002186
29,1.4632570000012493
30,1.457623500000409
31,1.5003230000002077
32,1.4684161999994103
33,1.474179799999547
34,1.5068078999993304
35,1.5557828000000882
36,1.4948705000006157
37,1.4875805000010587
38,1.5072350000009465
39,1.3782602999999654
40,1.4244875000003958
41,1.4830743999991682
42,1.4985477000009269
43,1.476098600000114
44,1.484621399999014
45,1.4752662000009877
46,1.480434500001138
47,1.4650118999998085
48,1.476092200000494
49,1.498646699999881
50,1.4945380999997724
51,1.465483399999357
52,1.4734499999995023
53,1.4981088000004092
54,1.384409800000867
55,1.4720264000006864
56,1.4655685999987327
57,1.473355599999195
58,1.4818390000000363
59,1.449173000000883
60,1.4637774999991962
61,1.4675028000001475
62,1.5027264000000287
63,1.4887149999995017
64,1.5332260000013775
65,1.4793555999985983
66,1.477891800001089
67,1.469989400000486
68,1.472060699999929
69,1.385598900000332
70,1.434249699999782
71,1.4598722999999154
72,1.4863091000006534
73,1.4400332999994134
74,1.46438660000058
75,1.459931699999288
76,1.505389500000092
77,1.4597240000002785
78,1.480249599999297
79,1.4582999000012933
80,1.506344600000375
81,1.4692229000011139
82,1.4794512000007671
83,1.5318986000002042
84,1.395648899999287
85,1.4446975999999268
86,1.468940200000361
87,1.4655963999994128
88,1.4319986000009521
89,1.475496099999873
90,1.453382600000623
91,1.4925492000002123
92,1.4165080999991915
93,1.4711968999999954
94,1.4987954000007448
95,1.5720945000011852
96,1.5327252999995835
97,1.5452481000011176
98,1.4419544000011228
99,1.4575889999996434
