,time
0,1.2739562999995542
1,1.209955500000433
2,1.2633509000006597
3,1.2537270999982866
4,1.1796553000003769
5,1.2393272999997862
6,1.2669022000009136
7,1.2691181999998662
8,1.1536297000002378
9,1.2559127000004082
10,1.2733945999989373
11,1.1369039999990491
12,1.2404053999998723
13,1.209174300000086
14,1.1882423999995808
15,1.2497287999995024
16,1.2378933999989385
17,1.269444300000032
18,1.1583617999986018
19,1.2258695000000444
20,1.262403799999447
21,1.1917100000009668
22,1.267109000000346
23,1.2657975999991322
24,1.1880476000005729
25,1.254550500001642
26,1.3072277000010217
27,1.2973971999999776
28,1.1754674000003433
29,1.2458093000004737
30,1.2319354999999632
31,1.1530325999992783
32,1.2713735999986966
33,1.2649972999988677
34,1.1985913000007713
35,1.255791199999294
36,1.2346435000017664
37,1.2791491999996651
38,1.1262674999998126
39,1.2253955000014685
40,1.2474401999988913
41,1.1611537999997381
42,1.2196765999997297
43,1.260877700000492
44,1.17042869999932
45,1.2805213000010554
46,1.256532999999763
47,1.182517100000041
48,1.2906508999985817
49,1.2750118000003567
50,1.2708779999993567
51,1.1672997000005125
52,1.267291899999691
53,1.24233760000061
54,1.1555380999998306
55,1.3321797999997216
56,1.2503345999994053
57,1.17866739999954
58,1.2465283000001364
59,1.2420777999996062
60,1.269567299999835
61,1.141617799999949
62,1.2572041000003082
63,1.2345022000008612
64,1.1640131999993173
65,1.2881577999996807
66,1.292352700000265
67,1.1619126000005053
68,1.2161878000006254
69,1.243846699999267
70,1.2544075999994675
71,1.169021599998814
72,1.264396399999896
73,1.2400663000007626
74,1.1813756999999896
75,1.2402717000004486
76,1.2618094999997993
77,1.1679417000013927
78,1.2408548000003066
79,1.2649870999994164
80,1.2505261000005703
81,1.1554102999998577
82,1.2368618000000424
83,1.2416997000000265
84,1.1446077999989939
85,1.2521651000006386
86,1.2675376000006509
87,1.1472874999999476
88,1.2366915000002336
89,1.2773483000000851
90,1.2562746999992669
91,1.165153800000553
92,1.241204400001152
93,1.2606558999996196
94,1.1682261000005383
95,1.3200262999998813
96,1.2403517000002466
97,1.133750400000281
98,1.2339255999995657
99,1.2318388999992749
