,time
0,1.138110100000631
1,1.1048597000008158
2,1.1146367000001192
3,1.0668300000033923
4,1.049637600001006
5,1.0246882999999798
6,1.10961810000299
7,1.0420838999998523
8,1.0409169000013208
9,1.0425739000020258
10,1.0487118999990344
11,1.0403145999989647
12,1.1154974999990372
13,1.0496396999988065
14,1.0641394999984186
15,1.0325592999979563
16,1.041138000000501
17,1.0441987999984121
18,1.047174500003166
19,1.094088500001817
20,1.0605543999990914
21,1.04798369999844
22,1.0321383999980753
23,1.055448899998737
24,1.0015325999993365
25,1.0920834000025934
26,1.0499022000003606
27,1.0614427999971667
28,1.049593100000493
29,1.0440204000005906
30,1.0355306000019482
31,1.1144113000009384
32,1.0507972999985213
33,1.067291600000317
34,1.04848420000053
35,1.0376488999972935
36,1.0386987999991106
37,1.1035336999993888
38,1.0801867000009224
39,1.0448332999985723
40,1.034285900001123
41,1.031648000000132
42,1.0511278999983915
43,1.1178997999995772
44,1.1905803000008746
45,1.049340100002155
46,1.040375700002187
47,1.0406521999975666
48,1.0367576999997254
49,1.104755299998942
50,1.0488255000018398
51,1.0424863999978697
52,1.050882300001831
53,1.0393484999985958
54,1.0336183999970672
55,1.1091029000017443
56,1.0902026999974623
57,1.0373996000016632
58,1.0468775000008463
59,1.0417766999999003
60,1.0428553000019747
61,1.107539299999189
62,1.0537799000012456
63,1.053877400001511
64,1.0355820000004314
65,1.036556399998517
66,1.0311954999997397
67,1.1063839000016742
68,1.0477541000000201
69,1.037002200002462
70,1.038720900000044
71,1.0591140999968047
72,1.0541906999969797
73,1.1024551000009524
74,1.061052799999743
75,1.02850060000128
76,1.0285909000012907
77,1.0580898999978672
78,1.0163241000009293
79,1.1093658999998297
80,1.043466699997225
81,1.0344588000007207
82,1.0414342000003671
83,1.0291477999999188
84,1.0274770000032731
85,1.1222439000011946
86,1.0713075999992725
87,1.031191600002785
88,1.0368565999997372
89,1.0477640999997675
90,1.0245638000014878
91,1.1143841999983124
92,1.0588376999985485
93,1.0400913000012224
94,1.0445394999987911
95,1.0452804000015021
96,1.019358599998668
97,1.1124676999970688
98,1.1285852000000887
99,1.0534733999993477
