,time
0,0.807267199998023
1,0.7663585000009334
2,0.7851101000014751
3,0.8590026000019861
4,0.7402728999986721
5,0.7782349999979488
6,0.7869668999992427
7,0.7962947999985772
8,0.7276609000000462
9,0.7794705999986036
10,0.7945097000010719
11,0.7273697999989963
12,0.7731865999994625
13,0.7799443000003521
14,0.7465536999989126
15,0.7803822999994736
16,0.8047042999969563
17,0.7990893000023789
18,0.7408837000002677
19,0.7939826000001631
20,0.7919105000000854
21,0.731062999999267
22,0.7792942999985826
23,0.7838731999981974
24,0.7143245000006573
25,0.7812186000010115
26,0.7820350000001781
27,0.7919780000011087
28,0.7320308999987901
29,0.7860594000012497
30,0.7918159000000742
31,0.7415309000025445
32,0.8036711999993713
33,0.7883287000004202
34,0.7121495999999752
35,0.7730240000018966
36,0.77716159999909
37,0.7898264999967068
38,0.718484900000476
39,0.7742873999995936
40,0.8024308999993082
41,0.7260607999996864
42,0.7877226000018709
43,0.7799928999993426
44,0.7283927000025869
45,0.7772589000014705
46,0.8066184000017529
47,0.809551600003033
48,0.7245878000030643
49,0.7841232000027958
50,0.8140678999989177
51,0.7219647999991139
52,0.8201380999998946
53,0.8046189999986382
54,0.7502615000012156
55,0.7823936999993748
56,0.8111485000008543
57,0.8196790000001783
58,0.7332113999982539
59,0.792308400003094
60,0.8048759000012069
61,0.7262983000000531
62,0.7896717000003264
63,0.8046032999991439
64,0.7593282000016188
65,0.7731563999986975
66,0.8031493000016781
67,0.7439755999985209
68,0.7625571999997192
69,0.778964500001166
70,0.8049841000029119
71,0.7312204000008933
72,0.7866824999982782
73,0.8038938999998209
74,0.7361668999983522
75,0.7845639000006486
76,0.7773653999975068
77,0.7162490000009711
78,0.7800723000000289
79,0.7771295999991708
80,0.7998541000015393
81,0.7376366999997117
82,0.8038106000021799
83,0.8004582000030496
84,0.7450463999994099
85,0.8101153999996313
86,0.7827533000017866
87,0.7291171000033501
88,0.7921000999995158
89,0.8059814999978698
90,0.8023461999982828
91,0.7377407000021776
92,0.8008850000005623
93,0.7832723000028636
94,0.7266092000027129
95,0.7930076999982703
96,0.8858452000022226
97,0.732486400000198
98,0.789137200001278
99,0.7903697999972792
