,time
0,0.8854988000020967
1,0.8917906000024232
2,0.8465489000009256
3,0.9031810999986192
4,0.813810999999987
5,0.8540537000008044
6,0.8821344999996654
7,0.7911658999983047
8,0.8398701999976765
9,0.8562060999975074
10,0.8836769999979879
11,0.7855882000003476
12,0.8572244000024511
13,0.8553573999997752
14,0.8046314000021084
15,0.8533668999989459
16,0.8556360000002314
17,0.8087967999999819
18,0.8460048000015377
19,0.8493493999994826
20,0.8796502000004693
21,0.8153681000003417
22,0.8364737999982026
23,0.8652636000006169
24,0.8418120999995153
25,0.866875900002924
26,0.8452150000011898
27,0.8094582999983686
28,0.8337694000001648
29,0.8692268999984663
30,0.7728257000017038
31,0.8450798999983817
32,0.8581419000001915
33,0.8714849999996659
34,0.7893334000000323
35,0.8563294999985374
36,0.8451104000014311
37,0.7869303999978001
38,0.8342120000015711
39,0.8753579999975045
40,0.8016434999990452
41,0.8240269000016269
42,0.8518732999982603
43,0.8596120000001974
44,0.790066300000035
45,0.8540217000008852
46,0.8639208999993571
47,0.7861547000029532
48,0.8442448999994667
49,0.8805514999985462
50,0.7980543999983638
51,0.8448506999993697
52,0.852435400000104
53,0.8481635999996797
54,0.8032506999988982
55,0.876751100000547
56,0.8651578999997582
57,0.8435688999998092
58,0.8362535000014759
59,0.8591254999992088
60,0.7972789000014018
61,0.8453799999988405
62,0.8693083999969531
63,0.8637383999994199
64,0.7896355000011681
65,0.860717299998214
66,0.8745615999978327
67,0.7975525000001653
68,0.848130599999422
69,0.850219100000686
70,0.7943444000011368
71,0.8234401000008802
72,0.8408884999989823
73,0.8619976000009046
74,0.8202253000017663
75,0.8439768999996886
76,0.858746699999756
77,0.7912060999988171
78,0.8400595000020985
79,0.8342081000009784
80,0.7969701000001805
81,0.8339216999993369
82,0.8508532000014384
83,0.8688688000002003
84,0.813773099998798
85,0.8520895000001474
86,0.8539765999994415
87,0.8003780999970331
88,0.8464478999994753
89,0.8689806999973371
90,0.7943638999968243
91,0.8455752000008943
92,0.8577913000008266
93,0.869325799998478
94,0.7769997000032163
95,0.850809699997626
96,0.8881237000023248
97,0.8155875000011292
98,0.8596783000029973
99,0.859943800001929
