,time
0,14.3575067999991
1,14.326968500001385
2,14.335678100000223
3,14.312698000001546
4,14.51999269999942
5,14.485791600000084
6,14.335184499999741
7,14.492100000001301
8,14.439447599999767
9,14.382029200000034
10,14.303440499999851
11,14.312867599999663
12,14.390696099999332
13,14.276048699999592
14,14.380328400000508
15,14.272529699999723
16,14.483630299999277
17,14.392863499999294
18,14.387279900000067
19,14.347140000001673
20,14.381189099998664
21,14.37644900000123
22,14.290494099999705
23,14.264714699998876
24,14.271690199999284
25,14.263631899999382
26,14.319166499999483
27,14.361529299998438
28,14.429217400000198
29,14.410622699999294
30,14.316778599999452
31,14.512364899999739
32,14.32814210000106
33,14.487350800000058
34,14.373415599999134
35,14.274743099998886
36,14.31566649999877
37,14.509066399999938
38,14.363236799999868
39,14.292557599999782
40,14.417154400000072
41,14.339239099999759
42,14.300049699999363
43,14.418862900000022
44,14.48416189999989
45,14.269989599999462
46,14.41587140000047
47,14.249053999999887
48,14.434650999999576
49,14.295847100000174
50,14.55352640000092
51,14.189178399999946
52,14.571711599999617
53,14.203249600001072
54,14.227653199999622
55,14.547574500000337
56,14.349989899999855
57,14.44251710000026
58,14.291154699998515
59,14.456352600000173
60,14.32059449999906
61,14.44722879999972
62,14.354212700000062
63,14.377592099999674
64,14.310572800000955
65,14.386646499999188
66,15.846836200000325
67,14.481447999998636
68,14.373452099998758
69,14.476070400000026
70,14.373891200000799
71,14.20453660000021
72,14.402237599999353
73,15.712954399999944
74,14.472457899999426
75,14.36171800000011
76,14.440124299999297
77,14.38397200000145
78,15.6950539999998
79,14.426321900000403
80,14.410101399998894
81,14.401231100000587
82,14.370700999999826
83,14.380380200000218
84,14.320155900000827
85,15.798774599999888
86,14.393809299999702
87,14.308872700001302
88,14.246188899998742
89,14.463013700000374
90,15.865120300000854
91,14.445680099999663
92,14.409126099999412
93,14.4980687999996
94,14.441513300000224
95,14.42850879999969
96,14.431573699999717
97,15.857935300000463
98,14.38981700000113
99,14.423941500001092
