,time
0,13.918795100000352
1,13.8303190000006
2,13.964808699998684
3,13.92492410000159
4,13.785753100000875
5,13.905130299999655
6,13.772276499999862
7,13.926338900000701
8,13.632990600000994
9,13.774530099999538
10,13.923728899999332
11,13.841965399999026
12,13.931475699999282
13,13.742585300000428
14,13.894734100000278
15,13.946839600001113
16,13.767222099999344
17,13.898502899999585
18,13.89196340000126
19,13.890933199998472
20,13.906647699999667
21,13.78322180000032
22,13.846354899998914
23,13.589600000001155
24,13.523640199999136
25,13.805285799999183
26,13.703424000001178
27,13.63318149999941
28,13.808711899999253
29,13.646623500000715
30,13.662574300000415
31,13.662397699999929
32,13.637460399999327
33,13.50754810000035
34,13.754341100000602
35,13.822315200000958
36,13.656824199999392
37,13.798004300000684
38,13.728765900001235
39,13.820563900000707
40,13.699701199999254
41,13.721532900000966
42,13.603227100000367
43,13.775029399999767
44,13.852684299999964
45,13.77864799999952
46,13.691079199999876
47,13.670386899999357
48,13.734177300000738
49,13.673644799999238
50,13.697423399999025
51,13.75646179999967
52,13.748889500000587
53,13.752033099999608
54,13.690854099999342
55,13.52549480000016
56,13.70578740000019
57,13.72474770000008
58,13.564269099999365
59,13.69958940000106
60,13.742888300001141
61,13.706848699999682
62,13.61199040000065
63,13.537943799999994
64,13.605003200000283
65,13.663472199999887
66,13.719589199999973
67,13.625172100000782
68,13.58155269999952
69,13.556699599999774
70,13.614911299999221
71,13.588596900000994
72,13.654786400000376
73,13.666897200000676
74,12.995423700000174
75,13.059805200000483
76,13.71547069999906
77,13.70598070000051
78,13.607594700000845
79,13.615706799999316
80,13.734406899999158
81,13.816952700000911
82,13.799896000000444
83,13.737706699999762
84,13.702618999999686
85,13.758022500000152
86,13.568108499999653
87,13.592467500000566
88,13.664016200000333
89,13.618826399999307
90,13.73006290000012
91,13.800134199998865
92,13.710207600001013
93,13.71452070000123
94,13.609186699999555
95,13.760129800000868
96,13.705089699999007
97,13.7582323000006
98,13.722537399999055
99,13.699537299999065
